Code;Description
1;"Toll bridge. Tolls are paid specifically to use
the structure."
2;"On toll road. The structure carries a toll road,
that is, tolls are paid to use the facility, which
includes both the highway and the structure."
3;"On free road. The structure is toll-free and
carries a toll-free highway."
4;"On Interstate toll segment under Secretarial
Agreement. Structure functions as a part of the
toll segment."
5;"Toll bridge is a segment under Secretarial
Agreement. Structure is separate agreement from
highway segment."
