Code;Description
A;Open, no restriction
B;"Open, posting recommended but not legally
implemented (all signs not in place or not
correctly implemented)"
D;"Open, would be posted or closed except for
temporary shoring, etc. to allow for
unrestricted
traffic"
E;"Open, temporary structure in place to carry
legal
loads while original structure is
closed and awaiting replacement or
rehabilitation"
G;New structure not yet open to traffic
K;Bridge closed to all traffic
P;"Posted for load (may include other
restrictions such as temporary bridges which
are load posted)"
R;"Posted for other load-capacity restriction Posted for other load-capacity restriction
(speed, number of vehicles on bridge, etc.)"
